filename	celltype	cell_name	donor
GSM2324626_HSC_1_D4_12_R1.txt.scwgbs	HSC	HSC_1_D4_12_R1	D4
GSM2324627_HSC_1_D4_13_R1.txt.scwgbs	HSC	HSC_1_D4_13_R1	D4
GSM2324628_HSC_1_D4_14_R1.txt.scwgbs	HSC	HSC_1_D4_14_R1	D4
GSM2324629_HSC_1_D4_15_R1.txt.scwgbs	HSC	HSC_1_D4_15_R1	D4
GSM2324630_HSC_1_D4_16_R1.txt.scwgbs	HSC	HSC_1_D4_16_R1	D4
GSM2324631_HSC_1_D4_17_R1.txt.scwgbs	HSC	HSC_1_D4_17_R1	D4
GSM2324632_HSC_1_D4_18_R1.txt.scwgbs	HSC	HSC_1_D4_18_R1	D4
GSM2324633_HSC_1_D4_1_R1.txt.scwgbs	HSC	HSC_1_D4_1_R1	D4
GSM2324634_HSC_1_D4_21_R1.txt.scwgbs	HSC	HSC_1_D4_21_R1	D4
GSM2324635_HSC_1_D4_24_R1.txt.scwgbs	HSC	HSC_1_D4_24_R1	D4
GSM2324636_HSC_1_D4_2_R1.txt.scwgbs	HSC	HSC_1_D4_2_R1	D4
GSM2324637_HSC_1_D4_3_R1.txt.scwgbs	HSC	HSC_1_D4_3_R1	D4
GSM2324638_HSC_1_D4_4_R1.txt.scwgbs	HSC	HSC_1_D4_4_R1	D4
GSM2324639_HSC_1_D4_5_R1.txt.scwgbs	HSC	HSC_1_D4_5_R1	D4
GSM2324640_HSC_1_D4_6_R1.txt.scwgbs	HSC	HSC_1_D4_6_R1	D4
GSM2324641_HSC_1_D4_7_R1.txt.scwgbs	HSC	HSC_1_D4_7_R1	D4
GSM2324642_HSC_1_D4_9_R1.txt.scwgbs	HSC	HSC_1_D4_9_R1	D4
GSM2324977_MPP_1_D4_11_R1.txt.scwgbs	MPP	MPP_1_D4_11_R1	D4
GSM2324978_MPP_1_D4_12_R1.txt.scwgbs	MPP	MPP_1_D4_12_R1	D4
GSM2324979_MPP_1_D4_13_R1.txt.scwgbs	MPP	MPP_1_D4_13_R1	D4
GSM2324980_MPP_1_D4_14_R1.txt.scwgbs	MPP	MPP_1_D4_14_R1	D4
GSM2324981_MPP_1_D4_15_R1.txt.scwgbs	MPP	MPP_1_D4_15_R1	D4
GSM2324982_MPP_1_D4_17_R1.txt.scwgbs	MPP	MPP_1_D4_17_R1	D4
GSM2324983_MPP_1_D4_19_R1.txt.scwgbs	MPP	MPP_1_D4_19_R1	D4
GSM2324984_MPP_1_D4_20_R1.txt.scwgbs	MPP	MPP_1_D4_20_R1	D4
GSM2324985_MPP_1_D4_21_R1.txt.scwgbs	MPP	MPP_1_D4_21_R1	D4
GSM2324986_MPP_1_D4_22_R1.txt.scwgbs	MPP	MPP_1_D4_22_R1	D4
GSM2324987_MPP_1_D4_23_R1.txt.scwgbs	MPP	MPP_1_D4_23_R1	D4
GSM2324988_MPP_1_D4_2_R1.txt.scwgbs	MPP	MPP_1_D4_2_R1	D4
GSM2324989_MPP_1_D4_3_R1.txt.scwgbs	MPP	MPP_1_D4_3_R1	D4
GSM2324990_MPP_1_D4_4_R1.txt.scwgbs	MPP	MPP_1_D4_4_R1	D4
GSM2324991_MPP_1_D4_5_R1.txt.scwgbs	MPP	MPP_1_D4_5_R1	D4
GSM2324992_MPP_1_D4_6_R1.txt.scwgbs	MPP	MPP_1_D4_6_R1	D4
GSM2324993_MPP_1_D4_7_R1.txt.scwgbs	MPP	MPP_1_D4_7_R1	D4
GSM2324994_MPP_1_D4_8_R1.txt.scwgbs	MPP	MPP_1_D4_8_R1	D4
